;Ammonia production DE, t;Fertiliser production DE, t;Ammonia net imports DE, t;Ammonia imports, t;Ammonia exports, t;Ammonia import prices DE, EUR/t;Ammonia export prices DE, EUR/t;Ammonia import value, EUR;Ammonia export value, EUR
01.01.2019;264983;126629;26307;761583;498515;304;329;23164334;16390879
01.02.2019;231174;105415;41012;657898;247781;327;305;21524877;7546445
01.03.2019;190992;95514;40808;648146;240061;303;306;19666632;7334508
01.04.2019;198672;114800;40041;576013;175600;294;296;16950645;5197499
01.05.2019;223303;108622;-759;359035;366625;296;268;10643692;9808217
01.06.2019;208330;116015;27005;605284;335239;266;209;16092947;7014500
01.07.2019;254270;125652;9825;432117;333864;233;236;10050555;7875408
01.08.2019;211889;114937;40153;527443;125913;217;275;11442861;3462739
01.09.2019;164975;78201;2349;172810;149320;271;284;4684509;4234274
01.10.2019;201807;125634;22144;494042;272602;263;241;12971784;6556176
01.11.2019;224959;121388;50983;907469;397639;256;259;23213297;10302758
01.12.2019;208664;113985;14976;342984;193225;257;257;8820183;4974250
01.01.2020;222017;121695;12073;469515;348787;246;267;11560731;9328805
01.02.2020;216418;118177;29447;676042;381568;240;238;16256857;9100133
01.03.2020;190449;120151;45467;730891;276219;235;245;17180839;6755017
01.04.2020;189041;96306;21301;642226;429220;250;238;16081741;10202277
01.05.2020;223340;127556;3256;341274;308718;244;237;8340882;7320653
01.06.2020;215464;133737;2248;244517;222037;250;224;6124986;4974515
01.07.2020;227314;131316;3068;394684;364003;195;222;7699279;8070568
01.08.2020;181293;111265;43945;706927;267478;199;196;14077912;5244189
01.09.2020;119952;98956;36261;458368;95755;187;212;8556596;2028667
01.10.2020;225423;122179;17430;622009;447706;191;196;11904312;8774971
01.11.2020;229650;125478;4977;413017;363246;205;198;8484160;7186673
01.12.2020;239962;125736;-11819;331361;449555;229;206;7592354;9244559
01.01.2021;231051;128904;-16961;180824;350431;238;216;4297813;7574826
01.02.2021;210317;116784;-4161;292035;333648;228;228;6672827;7605970
01.03.2021;223142;120232;-15396;327819;481781;286;289;9388142;13943999
01.04.2021;220471;101804;1495;287917;272964;359;348;10333214;9501741
01.05.2021;255951;121563;-24134;279072;520408;360;401;10058490;20856056
01.06.2021;206278;105130;-28715;162277;449423;319;383;5183480;17220347
01.07.2021;214310;121428;-4687;232728;279597;434;444;10105519;12421255
01.08.2021;198116;109519;-2640;236578;262974;471;467;11150711;12284411
01.09.2021;125794;91502;5311;312006;258892;500;490;15598269;12680419
01.10.2021;154493;104324;9905;321120;222073;503;646;16143779;14351541
01.11.2021;191115;109990;12967;283508;153838;677;875;19203007;13455743
01.12.2021;202219;106522;154321;1654118;110906;469;839;77648912;9299680
