Monat;Reale Originalwerte;Real Kalender- und saisonbereinigt (X13 JDemetra+)
01.01.2017;96,1;103
01.02.2017;92;103,6
01.03.2017;108,1;106,3
01.04.2017;104;104,6
01.05.2017;107,3;105,7
01.06.2017;104,7;106
01.07.2017;104,5;105,9
01.08.2017;103,1;105,2
01.09.2017;104,6;107
01.10.2017;104;105,7
01.11.2017;113,3;106,6
01.12.2017;124,8;109,2
01.01.2018;98,7;105,9
01.02.2018;93,4;105
01.03.2018;110,5;106,3
01.04.2018;106,4;109,2
01.05.2018;106,7;107,2
01.06.2018;109;108,1
01.07.2018;106,4;107,9
01.08.2018;105,5;107,3
01.09.2018;101,8;107,4
01.10.2018;110,8;108
01.11.2018;116,1;108,4
01.12.2018;123,5;108,8
01.01.2019;102,8;109,9
01.02.2019;98,2;110,1
01.03.2019;109,6;110,9
01.04.2019;113;110,5
01.05.2019;111,3;109
01.06.2019;107,7;112,4
01.07.2019;112,7;111,6
01.08.2019;109,2;110,9
01.09.2019;105,9;112,2
01.10.2019;113,4;110,3
01.11.2019;119,8;111,9
01.12.2019;126,5;111,9
01.01.2020;105,5;112,3
01.02.2020;104,6;112,5
01.03.2020;111,1;111,9
01.04.2020;107,1;104,8
01.05.2020;116,6;118
01.06.2020;115,4;117,2
01.07.2020;119,3;117,4
01.08.2020;113,1;118,7
01.09.2020;114,5;118,5
01.10.2020;124,7;120,4
01.11.2020;127,9;122,7
01.12.2020;133,7;115,7
01.01.2021;96,6;106,2
01.02.2021;98,1;109,8
01.03.2021;125,9;120,5
01.04.2021;112,6;112,5
01.05.2021;114,5;117,8
01.06.2021;123,2;123,3
01.07.2021;119,9;118,2
01.08.2021;113,5;118,9
01.09.2021;114;117,9
01.10.2021;120,9;118,2
01.11.2021;128,8;120,2
01.12.2021;135,2;117,3
01.01.2022;106,4;117,1
01.02.2022;104,9;117,3
01.03.2022;120,4;118,4
01.04.2022;115,4;112
